NOMMO	N AA M OW
HEIGHTOF	HH EY T AH F
REBEKAH	R IH B AH K AE
RESTWHEN	R EH S T W AH N
TREMORING	T R EH M ER IH NG
MATTED	M AE T IH D
THEATEROF	TH IY T AH R AH F
CHACKS	CH AE K S
ESPYDE	EH S AY D
TROUBLINGLY	T R AH B AH L IH NG L IY
HEREDATA	HH AH R EH D AH T AH
THROMBOTIC	TH R AA M B AH T AH K
FILLETTE	F IH L EH T
CLABBERED	K L AE B IY R D
LOOFAH	L UW F AH
CONTAIND	K AA N T EY N D
GELIGNITE	JH EH L IH G N AY T
MUROS	M Y UH R AH Z
HOOPOES	HH UW P OW Z
NUTUR	N Y UW T AH R
WORLDSTICKS	W ER L D S T IH K S
YOKOSUKA	Y AA K AH S UW K AH
JUGLER	JH AH G L AH R
INSTALMENT	IH N S T AO L M AH N T
PESTILENTIAL	P EH S T AH L AH N T IY AH L
ENFLAM	IH N F L AE M
MAITRESSE	M EY T R AH S
GOWD	G OW D
MONODRAMA	M AA N OW D R AA M AH
DEIPHANY	D IY IH F AH N IY
CUMBENT	K AH M B AH N T
DEFENDE	D AH F EH N D
MORNINGI	M AO R N IH N JH IY
PAIRWOULD	P AE AH R W OW L D
CLAUSIII	K L AO S IY IY
BEARTHESE	B IH AA R TH IY Z
FLEECYCREATURE	F L IY S IH K R IY EY T Y AH R
WOOSH	W UW SH
UK	AH K
RELUM	R AH L AH M
GOLIARDS	G OW L IY AH R D Z
OUTFLEW	AW T F L UW
*GREEN	G R IY N
LUME	L UW M
DÍSCHARGING	D S K AA R JH AH NG
GULES	G Y UW L Z
FORGETFULNESSBUT	F AO R JH EH T AH L N EH S B AH T
POUREABUNDANCE	P AH R AH B AH N D AH N S
YANQUIS	Y AE NG K W AH S
CRIESPERISHED	K R AY Z P EH R IH SH T
ASEARTH	AH S IH ER TH
SYNAPTIC	S IH N AH P T AH K
FISHMOUTH	F IH SH M AW TH
HOMEWHO	HH AA M Y UW HH OW
BILLETED	B IH L AH T IH D
FAMILIESWITH	F AE M AH L IY Z W IH TH
APPORACHING	AE P AO R AH CH AH NG
STOREAND	S T AH R IY N D
ENDU	IH N D UW
WHIRRRRRRR	W AH R
MANHATTANS	M AE N HH AE T AH N Z
RUBIESIN	R UW B IY S IH N
16TH	W AH N S IH K S T IY EY CH
UNBURNISHED	AH N B ER N IH SH T
COOPS	K UW P S
PENITENTIAL	P EH N AH T EH N CH AH L
GNOMON	N OW M AH N
ANTOFAGASTAS	AE N T AH F AH G AE S T AH Z
IMPLORINGLY	IH M P L OW R IH NG L IY
LIGGIN	L IH JH AH N
RANTS	R AE N T S
FIENT	F AY AH N T
SPLINTING	S P L IH N T IH NG
BLACKFIN	B L AE K F IH N
MINDLICE	M AY N D L AY S
SKA	S K AA
DUMBWAITERS	D AH M W EY T ER Z
STAREY	S T EH R IY
MEDIOCRITIES	M IY D IY AA K R AH T IY Z
CURTAYSLY	K AH R T EY Z L IY
SAPHIRS	S AE F AH R Z
MAITAI	M EY T EY
FOGGLE	F AA G AH L
''	
MAN/	M AE N
BETER	B EH T ER
ASHAL	AE SH AH L
SAWN	S AO N
'WITH	W IH TH
HYMNODY	HH IH M N AH D IY
LOVLIEST	L AA V L AY AH S T
GRACEFULEST	G R EY S F AH L AH S T
WHOOSHING	W UW SH IH NG
COUNSELLING	K AW N S AH L IH NG
FINDETH	F AY N D IH TH
BOKELEER	B AA K AH L IH R
SIXHIBOUX	S IH K S AH B AW K S
HAUTEURNEW	HH AO T Y UW R N Y UW
CADENCED	K EY D AH N S T
BASCINETFROM	B AE S AH N EH T R AH M
DEBASES	D IY B EY S IH Z
CANTABANKS	K AE N T AH B AE NG K S
ANYBODIES	EH N IY B AA D IY Z
LILLIBET	L IH L AH B AH T
MOVEI	M OW V EY
BARREIN	B AA R EY N
BESSEMERS	B IH S EH M AH R Z
THEYARE	TH EY AH R
ÆTHIOPIA	TH AY OW P IY AH
BREAKEST	B R EY K AH S T
RIVULETSRIVULETS	R IH V Y AH L AH T S R IH V Y AH L AH T S
GOOSEBUMPS	G UW S B AH M P S
THEREBESIDE	TH AH R EH B AH S AY D
DEWLAP	D UW L AE P
LADED	L EY D IH D
MACULAR	M AE K Y AH L AH R
ZUVOR	Z UW V AH R
TURNIN	T ER N IH N
NOCTILUCENT	N AA K T AH L UW S AH N T
MIGHTS	M AY T S
TRAILERWE	T R EY L AH R W
FLITTER	F L IH T ER
BLORTING	B L AO R T AH NG
DEFAC'T	D AH F AE K T
RUDELICHE	R UW D AH L AH CH
AIKE	EY K
LIMPIN	L IH M P IH N
HEARTHSTONE	HH AA R TH S T OW N
RIMMING	R IH M IH NG
REMOVERFROM	R AH M AH V AH R F R AH M
OVERSEAM	OW V ER S IY M
AMPULE	AE M P Y UW L
NOWDEFUNCT	N OW D AH F AH NG K T
EARTHINVISIBLE	IH ER TH IH N V IH Z AH B AH L
UTOPOS	Y UW T AH P AH Z
SILKCONCEPTUAL	S IH L K AH N S EH P CH AH W AH L
CAULKED	K AO K T
ONEWHOSE	AA N Y AH HH OW Z
SKITTERED	S K IH T ER D
GOONIGHT	G UW N AY T
COMPASSIONOF	K AA M P AE S IY AH N AH F
'SAY	S EY IY
SIMSCHUMBAWAMBA	S IH M S AH M B AH AE M B AH
UNAGREEABLE	AH N AH G R IY AH B AH L
PEDESTRIANVERSION	P AH D EH S T R IY AH N V ER ZH AH N
WENDEN	W EH N D AH N
ACCUSTOMD	AE K AH S T AH M D
BAYEUX	B EY IY AH K S
UNMOTIVATED	AH N M OW T IH V EY T IH D
BLOODYSWEET	B L AH D IY S W IY T
TAILFEATHERS	T EY L F EH DH ER Z
VISCOSE	V IH S OW Z
ASTRONOMYE	AE S T R AA N AH M AY
QUINCEAÑERA	K W IH N S AH IH R AH
PRATE	P R EY T
CAPRICORNE	K AE P R AH K AH R N
VASSALAGE	V AE S AH L IH JH
PAWPAW	P AO P AO
PROPHESYINGS	P R AA F AH S AY IH NG Z
SHREWISH	SH R UW IH SH
JIGGER	JH IH G ER
KOASTER	K OW S T AH R
MASKT	M AE S T
ALOOFIF	AH L UW F AH F
KABIR	K AE B AH R
CLITTERING	K L IH T IY R AH NG
RESOLUTEST	R EH Z AH L UW T AH S T
MEASUREOF	M IY S UH R IY AH F
WYLLOWE	W IH L OW
NAPEHAIRS	N AH P EH HH AH AH R Z
CLOTHESLINE	K L OW DH Z L AY N
NAGAMOYAANG	N AH G AE M OY AH NG
STYROFOAMCUPS	S T IH R AH F OW M K AH P S
HYPERGIANT	HH AY P ER JH AY AH N T
FUTILELY	F Y UW T AH L IY
BAMBOOS	B AE M B UW Z
UNIMBU	Y UW N AH M B UW
MIWOK	M IH W AH K
SEEMD	S IY M D
ALWAYSHOT	AE L W EY SH AH T
KITAJ	K IH T AH JH
POESYE	P OW AH S AY
BOXWOODS	B AA K S W UH D Z
BESTIARY	B EH S T IY EH R IY
TRESPASSES	T R EH S P AH S IH Z
PHANTASY	F AE N T AH S IY
CONTRIVING	K AH N T R AY V IH NG
RAPACES	R AE P EY S IH Z
GOUSSARGUES	G AW S AH R G Z
BLINDAND	B L IH N D AH N D
HARVESTEDBUT	HH AA R V AH S T EH D AH T
FACTFURROW	F AE K T F ER OW
ARIKARA	AH R IH K AH R AH
CACKAMAMIE	K AE K AH M EY M AY
ALTHO	AE L TH OW
MOC	M AA K
HOLEYT	HH OW L EY T
BENDE	B IH N D IY
PAYEDE	P EY IY D
WORKSBACK	W ER K S B AE K
LOQUACITY	L OW K W AE S AH T IY
LANTERNINTO	L AE N T AH R N IH N T OW
DESERTPARKING	D EH Z ER T P AA R K IH NG
WYPED	W AY P T
EARTHTHE	AH R TH DH
STAFFTO	S T AE F T OW
IMPLOI	IH M P L OY
CORNBEEF	K AO R N B IY F
VALLÈN	V AE L N
LOUTISH	L OW Y UW T AH SH
HONEYCOMBS	HH AH N IY K OW M Z
TASTIC	T EY S T IH K
YAKUTAT	Y AE K Y UW T AH T
ÍS	S
GRABSLIKE	G R AE B Z L AY K
HABANERA	HH AH B AE N AH R AH
LEBLOS	L EH B L AH Z
FLOATWHOLLY	F L OW T W HH AA L IY
FOME	F OW M
'SNIPERS	S N IH P AH R Z
CALYDON	K AE L AH D AH N
STALACTITE	S T AE L AH K T AY T
OPACOUS	OW P AH S AH S
XII	Z IY
CRINOLINES	K R IH N AH L AY N Z
GETSO	JH EH T S OW
1934–2014	W AH N AY N TH R IY F OW R T UW Z IY R OW W AH N F OW R
FOURTY	F OW Y UH R T IY
WHILOM	W IH L AH M
WYNDERMERE	W IH N D AH R M AH R
DOOMSTERS	D UW M S T ER Z
SKEERED	S K IH R D
PEREGRINATIONS	P AH R EH G R AH N EY T IY AH N Z
2013	T UW Z IY R OW W AH N TH R IY
SITTINGFOR	S IH T IH NG F AO R
2D	T UW D IY
ZITRONEN	Z IH T R AH N AH N
BEDON	B IH D AA N
COMPRISETH	K AH M P R AY Z IH TH
ANNULS	AE N Y AH L Z
WHAUR	W AO R
HYETHE	HH AY AH DH
MUSCLEDTHIGHS	M AH S AH L D TH AY Z
46	F OW R S IH K S
ENCHANTMENTS	EH N CH AE N T M AH N T S
SEEAN	S IY AH N
VENLO	V EH N L OW
FATALL	F AE T AO L
EXPOSTULATION	EH K S P AA S CH AH L EY SH AH N
CRUDEST	K R UW D AH S T
DOVESHE	D AA V AH SH
CHARITYIN	CH AE R AH T IY IH N
SUCCOUREST	S AH K OW Y AH R AH S T
NINNAJI	N IH N AH JH IY
FOREGOES	F OW R G OW Z
RUMINATEA	R AH M IH N AH T IY
SKULLSON	S K AH L S AH N
CAVIL	K AE V AH L
CLOUDFORESTS	K L AW D F AO R AH S T S
MARD	M AA R D
GLADS	G L AE D Z
STILLITORY	S T IH L AH T AO R IY
LIKETHE	L IH K AH DH
FANON	F AE N AO N
HEADSAT	HH EH D S AE T
FLOODETH	F L AH D IH TH
PURING	P Y UH R IH NG
DISMAYEDTHAT	D IH S M EY EH D TH AH T
SLOWABSENCE	S L OW AE B S AH N S
INSTALLEDNESS	IH N S T AH L AH D N AH S
BDAY	B D EY IY
UNCHISELLED	AH N CH IH Z AH L D
COMBEDFACES	K AH M B EH D F EY S IH Z
WHEREFROM	W AH R EH F R AH M
NERVESLAY	N ER V S L EY
PASIONES	P EY S IY OW N Z
SATOF	S AE T AH F
METATARSAL	M IY T AH T ER Z AH L
TWOBROWN	T W AA B R OW N
SAUROIDS	S AH R OY D Z
AWAYFROM	AO EY F R AH M
FORMSDIVINE	F AO R M Z D AH V AY N
MOISTENING	M OY S AH N IH NG
ERMOZURA	AH R M AA Z AH R AH
CHANGEDI	CH AE N JH AH D IY
ROADBLACK	R OW D B L AE K
PUDOR	P Y UW D AH R
CORNUCUMP	K AA R N Y UW K AH M P
NAPPIES	N AE P IY Z
SYRENS	S IH R AH N Z
CANKEROUS	K AE NG K ER AH S
SPEEDWELL	S P IY D W EH L
SLUTWHO	S L AH T W HH OW
ARGANZUELA	AA R G AH N Z UW AH L AH
ASPONGE	AH S P AH N JH
SLUMB'RING	S L AH M B R AH NG
BRANCHIDAE	B R AE NG K AH D IY
UNTRODDEN	AH N T R AA D AH N
UNLOGIC	AH N L AA JH IH K
LATINAS	L AE T AH N AH Z
SEURAT	S UH R AH T
DOUBLETH	D AH B AH L IH TH
DAYSFINDING	D EY Z F AY N D IH NG
MUCHBEYOND	M AH CH B EY AH N D
HISPANIA	HH IH S EY N Y AH
COUNTRYWHERE	K OW AH N T R IH W HH AH R
SHADDOWING	SH AE D OW AH NG
FIELDOF	F IY L D AH F
GENTRYLEFT	JH EH N T R IY L EH F T
UNDERSTANDABILITY	AH N D ER S T AE N D AH B IH L AH T EH
LICKERS	L IH K ER Z
WOMIT	W AA M AH T
MISERICORDIA	M AH S EH R AH K AO R D IY AH
ALREADIE	AE L R IY D AY
HEADLOCKS	HH EH D L AA K S
FRIENDUNTIL	F R IY N D AH N T AH L
NOPOEM	N AA P OW AH M
UNKINDNESS	AH N K AY N D N AH S
BEMADE	B IH M EY D
SACRIFIC	S AE K R IH F AH K
UNSODDEN	AH N S AA D AH N
FARROWED	F AA R OW D
DOMINUM	D AA M AH N AH M
SONGIN	S AH N JH IH N
THINGSWOULD	TH IH N G S W OW L D
UNSOILED	AH N S OY L D
TRUITÉ	T R UW T
PESTILENTIA	P EH S T AH L EH N CH IY AH
FEEDETH	F IY D IH TH
VORLICH	V AO R L AH CH
EVERYTHING–EVERYTHING–BELONGED	IY V AH R IY TH IH NG IY V AH R IY TH IH NG B IH L
THRAL	TH R AE L
TALKE	T AE K
WEAR'ST	W IY R S T
SMARTWEED	S M AA R T W IY D
YOULATER	Y OW AH L EY T AH R
RISKSOF	R IH S AH F
130	W AH N TH R IY Z IY R OW
DAEMONIC	D IY M AH N AH K
SEEA	S IY AH
SLEPE	S L IY P
PARTERRES	P AA R T AH R Z
FORMICINAE	F AO R M IH S AH N IY
FORGIVER	F AO R G IH V ER
ERWHILE	AH R W AH L
RELEASEFOLLOWS	R IY L IY S F AA L OW Z
NOUVCEAUX	N AW V S IY AH K S
TOGETHERFOR	T AH G EH DH ER F AO R
SOARINGS	S OW R IH NG Z
TUNLATCH	T AH N L AH CH
LEOLINE	L IY AH L AY N
LIPIMPRESSES	L IH P IH M P R EH S IH Z
SPAREWHEN	S P AE R UW AH N
TORTUE	T AO R T UW
RADHOŠINSTRUMENTED	R AE D HH OY N S T R AH M EH N T AH D
INFLECTIONSCANCELS	IH N F L EH K SH AH N Z K AE N S AH L Z
POLYSYLLABLES	P OW L IY S IH L AH B AH L Z
SEEWAS	S IY W AH Z
INTHAT	IH N TH AE T
ABBÉ	AE B
EYESOCTOPI	EY AH S AA K T AH P IY
SLICETHE	S L IH S AH DH
CORPUSCLE	K AA R P AH S AH L
SHEATHS	SH IY TH S
LIK'NING	L IH K N AH NG
COCOTTE	K OW K AH T IY
ANDIT	AE N D AH T
JAZZ/	JH AE Z
AVALANCHING	AE V AH L AE N CH IH NG
DMX	D IY EH M Z
FLITTERS	F L IH T ER Z
BLACKNING	B L AE K N AH NG
LUCRINE	L AH K R AY N
RLS	AA R EH L S
BHIM	B HH IH M
UNPOLLUTED	AH N P AH L UW T IH D
RADIOSHACK	R EY D IY OW SH AE K
POSTOF	P AA S T AH F
NAMEOF	N EY M IY AH F
DO'T	D AA T
VIRGINALS	V ER JH AH N AH L Z
SEDUCES	S IH D UW S IH Z
YARDING	Y AA R D IH NG
RODERIGH	R AA D AH R IY
PELORUS	P EH L AH R AH S
HAVEDONE	HH AE V AH D OW N
BARRIEROUR	B AE R IY R AH R
SPILS	S P IH L Z
EXPRESSIONSOF	IH K S R IY S AY AA N S AH F
MELLS	M EH L Z
SIGNIFYINGNOTHING	S IH G N AH F AY IH NG N AH TH IH NG
IRISWITH	AY ER IY Z W IH TH
ARMOURS	AA R M ER Z
PULSEIF	P UH L S IY F
STAMMERINGSPEECHLESSNESS	S T AE M ER IH NG S P IY CH L AH S N AH S
EIBHLÍN	IY B HH L N
OVERSPRED	AH V AH R S AH R D
GAUNTLETOF	G AO N T L AH T AH F
LEURS	L IY Y AH R Z
INDU	IH N D UW
SAPPHOS	S AE P AH Z
ASTROV	AE S T R AH V
LIQUESCENT	L AH K EH S AH N T
COMINGAND	K AA M AH N G AE N D
WENE	W IY N
TERRAPIN	T EH R AH P AH N
GROSSIER	G R OW S IY ER
HOURES	HH OW Y ER Z
INGÉNUES	IH N Y UW S
01	Z IY R OW W AH N
ARLES	AA R L Z
JALISCO	JH AH L IH S OW
CONSÁQUENCE	K AA N S W EH N S
KOPENHAGEN	K AH P EH N AH JH AH N
DISRUPTIVES	D IH S R AH P T IH V Z
LARDERS	L AA R D ER Z
NOTINTO	N AH T IH N T OW
LACHIA	L AE CH IY AH
BUTHOPE	B AH TH OW P
DETESTATION	D IY T EH S T EY SH AH N
FLATCAR	F L AE T K AA R
KESTREL	K EH S T R AH L
PENSIONE	P EH N S IY OW N
YOURSELFI	Y AH R S EH L F IY
ONNOT	AA N AH T
INWIT	IH N W IH T
WITHRAPID	W IH TH R AE P AH D
MARROWS	M AE R OW Z
PECKERWOODS	P EH K ER W UH D Z
WOMMAN	W AA M AH N
THESTEAMY	DH AH Z T IY M IY
THINKOF	TH IH NG K AH F
LAON	L EY AH N
TWOFER	T W OW F AH R
LAVANT	L EY V AH N T
PINEWARD	P AY N W ER D
SHIVAREE	SH IH V AH R IY IY
MEMORIALIST	M AH M OW R IY AH L IH S T
UNWEDDED	AH N W EH D IH D
VADE	V EY D
HAIRPICK	HH EH R P IH K
PAEANON	P IY AH N AO N
ITALO	IH T AH L OW
CRUELL	K R UW AH L
TWEEDS	T W IY D Z
FOWLING	F AW L IH NG
STEGOSAURS	S T EH G AH S EY Y AH R Z
EDDYING	EH D IY IH NG
REVELLED	R EH V AH L D
IMBECILITY	IH M B AH S AH L AH T IY
AXLETREES	AE K S AH L T R IY Z
UNDERFED	AH N D ER F EH D
HEO	HH IY OW
ROSELESS	R OW Z L AH S
CIGGERETTS	S IH JH AH R EH T S
NIMBLER	N IH M B AH L ER
HARPOONER	HH AA R P UW N AH R
LEAVEHIS	L IY V AH AH S
FLOESOF	F L OW AH S AH F
'ULL	AH L
LUGGED	L AH G D
'LUSTROUS	L AH S T R AH S
CONVERSATIONALISTS	K AA N V ER S EY SH AH N AH L IH S T S
BECKONINGAND	B IH K AH N IH N G AH N D
BOOTHSAND	B UW TH S AE N D
BEHIN	B AH HH IH N
UNGLAZED	AH N G L EY Z D
DROUKIT	D R AW K AH T
GRAMOPHONES	G R AE M AH F OW N Z
FRONTIERSMAN	F R AH N T IH ER Z M AE N
SCHOOLMAN	S K UW L M AE N
WHOREMONGER	HH OW R M AH NG G ER
HEREINAFTER	HH IH R AH N AE F T ER
CARPETTO	K AA R P EH T OW
EMBÁSSADE	IH M B S EY D
MOVINGTO	M AH V IH N G T OW
THREATE	TH R IY EY T
GOLDAND	G OW L D AH N D
CAMELSIT	K AE M AH L S IH T
CORAGES	K OW R EY JH IH Z
GANESH	G AE N AH SH
BASTO	B AE S T OW
SUSAN…	S UW Z AH N
BUBULCUS	B Y UW B UH L K AH S
HOWARDS	HH OW AH R D Z
GARGLE	G AA R G AH L
VILLAGERTIMED	V IH L IH JH ER T AY M D
TRIPPY	T R IH P IY
BSISI	B S IH S IY
ARROWER	AE R OW ER
LADDERTHAT	L AE D AH R TH AH T
VALDINI	V AE L D AH N IY
PLOTALL	P L AA T AO L
SUWETH	S AH W AH TH
LIPPING	L IH P IH NG
DIEDEXCEPT	D AY D IH K S EH P T
GYNNETH	JH IH N AH TH
STUNNEDAS	S T AH N AH D AH Z
KÍNG	K EY EH N G
TRILLIUMS	T R IH L IY AH M Z
OVERKIND	OW V ER K AY N D
MISANTHROPY	M IH S AH N TH R OW P IY
BENEATHE	B AH N IY DH
MARFAN	M AA R F AE N
ROCKIE	R AA K IY
SINGLET	S IH NG L AH T
WHEELBARROWED	W IY L B AE R OW D
WITHER•	W IH DH ER
HOUSBONDES	HH AW Z B AH N D Z
ADDERS	AE D ER Z
MILKISH	M IH L K IH SH
PLATS	P L AE T S
OUTSTEPS	AW T S T EH P S
ALARMIN	AH L AA R M IH N
AGONIE	AH G AO N IY
HYMENÆE	HH AH M IY N
CAUGHTWINCING	K AO T W IH N S IH NG
MACARON	M AE K AH R AH N
SEMELY	S IY M L IY
WALKTO	W AA L K T OW
TREMBLES	T R EH M B AH L Z
BASKETFUL	B AE S K AH T F AH L
TIEGARTEN	T IY G AA R T AH N
GROVEWITHSTOOD	G R OW V W IH TH S T UH D
REAPÈD	R IY AE P D
HEARTSHOULD	HH AH R T OW L D
WETS	W EH T S
DRENCHT	D R EH NG K T
SWALLLOWING	S W AA L OW AH NG
PROXIMITYTO	P R OW Z AH M IH T AH T OW
STREM	S T R EH M
MUÑOZ	M Y UW AH Z
INT'REST	IH N T R AH S T
ANTHROPOCENE	AE N TH R AA P AH S IY N
ADVENTURED	AH D V EH N CH ER D
SHUSHAN	SH AH SH AH N
TERE	T IH R
BLOODBACK	B L AH D B AE K
INNOCENCY	IH N AH S AH N S IY
ATROPINE	AE T R AH P AY N
MINWAX	M IH N W AH K S
EUROVISION	Y UW R AH V AH S IY AH N
LEARNETH	L ER N IH TH
NAZARENES	N AE Z AH R IY N Z
ABDUS	AE B D AH S
REV'REND	R EH V R EH N D
SHELTERBELT	SH EH L T ER B EH L T
TURNOF	T AH R N AH F
TICKETY	T IH K AH T IY
OTHERFLOAT	AH DH ER F L OW T
BAREBACK	B EH R B AE K
DINGHIES	D IH NG IY Z
RAINSILENT	R EY N S AY L AH N T
PLANTBEANS	P L AE N T B IY N Z
GLOSSTHE	G L AA S DH
BUZZZZZZZZZZZZZZZZZZ	B AH Z
…REFLECT…	R IH F L EH K T
PANJAL	P AE N JH AH L
DIEBEFORE	D AY B IY F OW R
BUKIS	B Y UW K AH S
HEARDUNTIL	HH AH R D AH N T AH L
TENTABOVE	T EH N T AH B AH V
PROVOK'T	P R OW V AA K T
NOSEWITH	N OW Z W IH TH
THREWBOUQUETS	TH R UW B UW K EY Z
MOTHERTHAT	M AH TH AH R TH AH T
COALTO	K OW AE L T OW
WELLTHY	W EH L TH IY
POJALOUISTA	P AA JH AH L AW IH S T AH
BENBURB	B IH N B AH R B
'AMONG	AE M AH NG
DEFENSLESS	D IY F EH N Z L AH S
SLATY	S L EY T IY
ARIMNA	AH R IH M N AH
SWETERS	S W EH T AH R Z
UMIAK	Y UW M AY AH K
STRONGERTHAN	S T R AA N JH AH R TH AH N
PATRÓN	P AE T R N
WHIRLSABOUT	W ER L Z AH B AW T
HORTENSIUS	HH AO R T EH N S AY AH S
SHOWSSOUND	SH OW Z S AW N D
MARSHFIRE	M AA R SH F AY ER
PEPLE	P EH P AH L
NEWORLEANS	N UW ER L IY N Z
LEER	L IH ER
FACESWITH	F EY S IH Z W IH TH
VEILD	V EY L D
IMBARS	IH M B AA R Z
SPOONBILLS	S P UW N B IH L Z
COMEND	K OW M EH N D
BOATHEAD	B OW T HH EH D
COZILY	K OW Z IY L IY
HELE	HH IY L
PRIKETH	P R AY K AH TH
FLESHING	F L EH SH IH NG
MEV	M EH V
THRAVE	TH R EY V
EVERYBOYMAN	IY V AH R IY B OY M AE N
PATRIMONIE	P AE T R IH M AO N IY
–	
IRAQALONG	AH R AE K AH L AH NG
BLACKHAWKISLAND	B L AE K HH AO K AY L AH N D
MAKEOF	M EY K IY AH F
CLAIME	K L EY M
CAMALDOLI	K AH M AE L D AH L IY
SELFAWARE	S EH L F AH W EH R
PANDÊMOS	P AE N D M AH Z
STEALTHYKNIGHT	S T EH L TH IY N AY T
CAPITALSAURUS	K AE P AH T AE L S EY Y AH R AH S
THORNYAND	TH AO R N AY AH N D
PASTRYIN	P EY S T R IY IH N
CLAPPERS	K L AE P ER Z
LIMPSY	L IH M P S IY
DIO	D AY OW
HAHUCINATION	HH AE HH Y UW S AH N EY SH AH N
MAKEBA	M AE K AH B AH
WHENDISTINCT	W EH N D IH S T AH NG K T
AAAAAAAAAAA	AA AH AH AA AH AH
MOTHERIS	M AO TH AH R IY Z
HELPSUS	HH EH L P S AH S
TIMETHE	T IH M AH DH
SØREN	S R EH N
VEINSVEINS	V EY N Z V EY N Z
MAMMON	M AE M AH N
LUMINARIE	L UW M AH N ER IY
BLUE/	B L UW
MILKFLOWER	M IH L K F L AW ER
SUNRICOCHETING	S AH N R IH K AH SH EY IH NG
CYPRESSE	S IH P R AH S
SYNCHRONY	S IH NG K R AH N IY
ROOKING	R UH K AH NG
BETTERWAY	B EH T ER W EY
DREAMILY	D R IY M IY L IY
SEEMBUT	S IY M B AH T
CREELOF	K R IY L AH F
KLANSWEAT	K L AE N S W IY T
RENOUNC	R AH N AW NG K
COUSINOF	K OW Y UW S AH N AH F
FLAMELESS	F L EY M L AH S
LATCHHOOKS	L AE CH HH UH K S
FLEERS	F L IH R Z
UIBHE	UW B HH
MESSE	M EH S
SUPPURATING	S AH P Y ER EY T IH NG
DYNAMOHITCHED	D AY N AH M OW HH IH CH T
GUTRACKET	G AH T R AE K AH T
DAYCOMES	D EY K AH M Z
WEAKNESSAND	W IY K N EH S AH N D
GARLANDS	G AA R L AH N D Z
EVANSWAS	AH V AE N S W AH Z
THOD	TH AA D
ENJOYERS	EH N JH OY ER Z
TRUTHFINALLY	T R UW TH F AY N AH L IY
SEALHEARS	S IY L HH IH ER Z
PROSP'ROUS	P R AA S R AH S
GHASTNESS	G AE S T N AH S
FLOURISHD	F L AH R AH SH D
EEVEN	IY V AH N
HANDSTHEN	HH AE N D Z TH AH N
CRAFTSLIPPEDSTARBOARDPIGONFOOTDOESNO	K R AE F T S L AH P AH D S T AH R B OW R D P AH G AH N F UW T D OW EH Z N OW
AUDRE	AO D AH R
COMMISERATED	K AH M IH Z ER EY T IH D
DISASTERED	D IH Z AE S T ER D
UNDESIRING	AH N D IH Z AY ER IH NG
UNDERSHOT	AH N D ER SH AA T
EXIGUA*	IH G Z IH G W AH
BURSAL	B ER S AH L
MUMMERS	M AH M ER Z
KESARS	K EH S AH R Z
GOUACHED	G AW AH CH T
METAPHORIC	M EH T AH F AO R IH K
FELLATING	F EH L EY T IH NG
MELODIOUSLY	M AH L OW D IY AH S L IY
SPERSED	S P EH R Z D
PHIZER	F AY Z AH R
ALWAYSFOR	AE L W EY S AH R
CHARITIE	CH AE R AH T IY
WHIRR	W AH R
ECONOMICALIE	EH K AH N AA M IH K AH L IY
FRIENDLESS	F R EH N D L AH S
PRAYFOR	P R EY F AO R
GLOPP	G L AA P
BOOTHEELSTHAT	B UW TH IY L S TH AH T
DASHA	D AE SH AH
ROSELIA	R AH S IY L Y AH
OSEYE	AA S AY
BRAVEN	B R EY V AH N
COUNTRYSO	K OW AH N T R IH S OW
BEENIN	B IH EH N IH N
BROCADING	B R OW K EY D IH NG
ABANDONEDMEN	AH B AE N D AH N D M EH N
RIGHTA	R AY T AH
BLEATIN	B L IY T IH N
CRYINGAND	K R AY IH N G AH N D
SCALENE	S K AH L IY N
FLYEST	F L AY AH S T
HAGH	HH AE
SIDEWALKS…PAGE	S AY D W AO K S P EY JH
POETSAH	P OW EH T S AH
CANTOLERATE	K AE N T AA L ER AH T
THINGUPSET	TH IH NG AH P S EH T
DUMBESS	D AH M AH S
SLACKSAND	S L AE K S AE N D
OPENEDWITHOUT	OW P AH N D W IH TH AW T
PRUDES	P R UW D Z
BLOWHOLEAND	B L OW HH AH L IY N D
ABSCESSES	AE B S EH S IH Z
PLANETSHOWING	P L AE N AH T SH OW IH NG
STOMPS	S T AA M P S
VOICESKINNING	V OY S K IH N IH NG
CHANGELING	CH EY N JH L IH NG
COPYCATTED	K AA P IY K AE T IH D
PIZZLES	P IH Z AH L Z
CHLORAL	K L AO R AH L
TINCANS	T IH N K AE N Z
INSULT'ST	IH N S AH L T S T
­BENT	B EH N T
MANERE	M EY N AH R
SLEIGHING	S L EY AH NG
PARADE/	P AH R EY D
CAVALLON	K AH V AE L AH N
ISAN	AY Z AH N
SALIVARY	S AE L AH V EH R IY
WINDCLOAKED	W IH N D K L OW K T
OPEING	OW P IY AH NG
CERTAINTYPES	S ER T AH N T AY P S
THROATTILL	TH R OW T IH L
MOCKIN	M AA K IH N
STEERERS	S T IH ER ER Z
YOUTHLY	Y UW TH L IY
ECART	EH K AH R T
HYLS	HH IH L Z
BUZZATI	B AH Z AH T IY
REDEEME	R IH D IY IH M
DISQUIETUDE	D IH S K W AY AH T UW D
SOURCELESS	S OW R S L AH S
AO	EY OW
EARTHSATAN	ER TH S EY T AH N
MIGNIONET	M IH G N IY AH N AH T
WUZZ	W AH Z
DRENCHETH	D R EH N CH IH TH
(	
TRICYCLEWHEN	T R AH S IH K L UW AH N
